transaction_id,customer_id,product_id,product_name,category,quantity,unit_price,amount,payment_method,status,transaction_timestamp,city
T0000001,C02286,P012,Cooking Oil,Grocery,3,937,2811,NETBANKING,FAILED,2026-08-21 03:30:47,Kolkata
T0000002,C03887,P025,Running Shoes,Sports,1,3431,3431,COD,SUCCESS,2026-08-21 13:46:00,Mumbai
T0000003,C03449,P004,Television,Electronics,1,34078,34078,WALLET,SUCCESS,2026-08-21 00:21:43,Chennai
T0000004,C01077,P010,Backpack,Fashion,4,1393,5572,CARD,PENDING,2026-08-21 20:49:09,Kolkata
T0000005,C02019,P001,Laptop,Electronics,5,48841,244205,COD,FAILED,2026-08-21 11:07:43,Hyderabad
T0000006,C02965,P002,Mobile,Electronics,5,24480,122400,COD,SUCCESS,2026-08-21 00:05:32,Noida
T0000007,C04237,P024,Dumbbells,Sports,3,3834,11502,COD,SUCCESS,2026-08-21 06:26:48,Pune
T0000008,C02047,P013,Dry Fruits,Grocery,5,1283,6415,COD,SUCCESS,2026-08-21 12:50:45,Hyderabad
T0000009,C04299,P009,T-Shirt,Fashion,3,994,2982,COD,SUCCESS,2026-08-21 17:20:32,Jaipur
T0000010,C04718,P002,Mobile,Electronics,3,21562,64686,COD,SUCCESS,2026-08-21 00:00:58,Delhi
T0000011,C01700,P018,Lamp,Home,1,1248,1248,CARD,FAILED,2026-08-21 23:17:18,Kolkata
T0000012,C00259,P018,Lamp,Home,4,1259,5036,WALLET,SUCCESS,2026-08-21 03:54:41,Pune
T0000013,C02859,P018,Lamp,Home,3,1436,4308,NETBANKING,SUCCESS,2026-08-21 18:41:25,Chennai
T0000014,C02148,P021,Cricket Bat,Sports,1,3800,3800,NETBANKING,SUCCESS,2026-08-21 03:55:44,Ahmedabad
T0000015,C03531,P016,Chair,Home,2,3669,7338,CARD,SUCCESS,2026-08-21 21:20:34,Ahmedabad
T0000016,C04048,P006,Shoes,Fashion,4,2840,11360,NETBANKING,SUCCESS,2026-08-21 04:50:41,Mumbai
T0000017,C01601,P015,Tea,Grocery,5,478,2390,UPI,SUCCESS,2026-08-21 04:38:04,Hyderabad
T0000018,C02082,P008,Jacket,Fashion,5,3144,15720,NETBANKING,PENDING,2026-08-21 04:22:29,Delhi
T0000019,C02261,P007,Jeans,Fashion,4,1642,6568,NETBANKING,SUCCESS,2026-08-21 04:50:03,Kolkata
T0000020,C02739,P023,Yoga Mat,Sports,4,832,3328,CARD,SUCCESS,2026-08-21 18:21:47,Hyderabad
T0000021,C01241,P007,Jeans,Fashion,4,1860,7440,NETBANKING,SUCCESS,2026-08-21 23:37:02,Ahmedabad
T0000022,C00031,P012,Cooking Oil,Grocery,4,752,3008,COD,SUCCESS,2026-08-21 17:45:53,Bangalore
T0000023,C04398,P015,Tea,Grocery,4,439,1756,WALLET,SUCCESS,2026-08-21 19:59:50,Hyderabad
T0000024,C04058,P019,Bedsheet,Home,2,1638,3276,UPI,SUCCESS,2026-08-21 11:36:58,Ahmedabad
T0000025,C01477,P020,Cookware,Home,2,2762,5524,COD,FAILED,2026-08-21 18:50:50,Delhi
T0000026,C02476,P009,T-Shirt,Fashion,3,851,2553,NETBANKING,PENDING,2026-08-21 00:54:50,Pune
T0000027,C04947,P019,Bedsheet,Home,5,1576,7880,NETBANKING,SUCCESS,2026-08-21 09:14:09,Jaipur
T0000028,C00958,P011,Rice Bag,Grocery,3,1270,3810,UPI,SUCCESS,2026-08-21 13:22:16,Kolkata
T0000029,C02418,P017,Table,Home,3,7643,22929,COD,SUCCESS,2026-08-21 20:15:03,Hyderabad
T0000030,C01375,P003,Headphones,Electronics,5,2943,14715,CARD,SUCCESS,2026-08-21 15:11:06,Jaipur
T0000031,C03278,P009,T-Shirt,Fashion,4,957,3828,COD,SUCCESS,2026-08-21 09:40:08,Delhi
